COORDENACAO DO CURSO DE ENGENHARIA MECANICA/DCCET,7
COORDENAÇÃO DO CURSO DE ENGENHARIA DE PESCA PINHEIRO/CCHNST,7
COORDENAÇÃO DO CURSO DE LICENCIATURAS EM CIENCIAS NATURAIS SÃO BERNARDO/CSB,6
COORDENAÇÃO DO CURSO DE PEDAGOGIA CODÓ/CAMPUS VII,5
COORDENAÇÃO DO CURSO DE TURISMO SÃO BERNARDO/CSB,5
DEPARTAMENTO DE PESSOAL/PRH,3
VICE-REITORIA,2
GABINETE/PROEN,2
COORDENAÇÃO DO CURSO DE MEDICINA/CCBS,2
COORDENAÇÃO DO CURSO DE CIÊNCIAS CONTÁBEIS/CCSO,1
COORDENAÇÃO DO CURSO DE CIÊNCIAS IMOBILIÁRIA/CCSO,1
COORDENAÇÃO DO CURSO DE ADMINISTRAÇÃO/CCSO,1
NÚCLEO DE ENSINO A DISTANCIA/NEAD,1
PROGRAMA DE PÓS-GRADUAÇÃO EM BIODIVERSIDADE CONSERVAÇÃO/CCBS,1
COORDENAÇÃO DO CURSO DE CIÊNCIAS BIOLÓGICAS/CCBS,1
PROGRAMA DE PÓS-GRADUAÇÃO EM REDE - REDE DE BIODIVERSIDADE E BIOTECNOLOGIA DA AMAZÔNIA LEGAL/CCBS,1
COORDENAÇÃO DO CURSO DE EDUCAÇÃO ARTÍSTICA/CCH,1
COORDENAÇÃO DO CURSO DE LICENCIATURA EM TEATRO/CCH,1
COORDENAÇÃO DO CURSO MÚSICA LICENCIATURA/CCH,1
PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA DE ELETRICIDADE/CCET,1
COORDENAÇÃO DO CURSO DE ENGENHARIA ELÉTRICA/CCET,1
RESTAURANTE UNIVERSITÁRIO,1
COORDENAÇÃO DO CURSO DE NUTRIÇÃO/CCBS,1
BIOTERIO/CCBS,1
ASSESSORIA DE INTERIORIZAÇÃO,1
COORDENAÇÃO DO CURSO DE BIBLIOTECONOMIA/CCSO,1
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA DOS MATERIAIS/CCSST,1
DIRETORIA DE CENTRO/CCSST,1
SUBPREFEITURA,1
CAMPUS CODÓ,1
CAMPUS GRAJAÚ,1
CAMPUS SÃO BERNARDO,1
DIRETORIA DE CENTRO/CCAA,1
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA ANIMAL (25.06)/CCAA,1
COORDENAÇÃO DE SERVIÇOS TECNOLÓGICOS E DE INOVAÇÃO/PPPG,1
COORDENAÇÃO DO CURSO DE TURISMO/CCSO,1
DEPARTAMENTO DE EXTENSÃO/PROEX,1
DEPARTAMENTO DE ASSUNTOS ESTUDANTIS,1
COORDENAÇÃO DO CURSO DE HOTELARIA/CCSO,1
DEPARTAMENTO DE APOIO A PROJETOS DE INOVAÇÃO E GESTÃO DE SERVIÇOS TECNOLÓGICOS/PPPGI,1
COORDENAÇÃO DO CURSO DE QUÍMICA INDUSTRIAL/CCET,1
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS SOCIAIS/CCH,1
COORDENAÇÃO DO CURSO DE CIÊNCIAS SOCIAIS/CCH,1
COORDENAÇÃO DO CURSO DE SERVIÇO SOCIAL/CCSO,1
PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE COLETIVA/CCBS,1
DIRETORIA DE CENTRO/CCET,1
COORDENAÇÃO DO CURSO DE QUÍMICA LICENCIATURA/CCET,1
PROGRAMA DE PÓS-GRADUAÇÃO EM QUÍMICA/CCET,1
PROGRAMA DE PÓS-GRADUAÇÃO EM ENERGIA E AMBIENTE/CCET,1
DIRETORIA DE CENTRO/CCH,1
COORDENAÇÃO DO CURSO DE PSICOLOGIA/CCH,1
PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOLOGIA/CCH,1
DIRETORIA DE CENTRO/CCBS,1
PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE DO ADULTO E DA CRIANÇA/CCBS,1
